id	1102	1117	1558	1923	2143	11396	11449	11511	11654	11875	11921	11928	12034	12036	12047	12152	12570	12993	13117	13142	13424	13454	13782	13885	13901	13907	13910	13950	14105	14149	14205	14211	14284	14402	14404	14473	14493	14501	14521	14524	14533	14619	14703	14706	14718	14729	14746	14765	14773	14812	14821	14836	14862	15070	15091	15125	15217	15218	15219	15245	15249	15260	15265	15309	15328	15351	15355	15370	15426	15432	15444	15517	15611	15626	15658	15699	15794	15821	15895	15949	15955	15985	16011	16024	16246	16281	16393	16438	16488	16491	16548	16840	16972	17048	17053	17071	17072	17109	17160	17162	17167	17175	17198	17264	17369	17486	17629	17634	17671	17754	17756	17767	17812	17898	17921	17923	17936	17940	17972	17978	18039	18048	18061	18121	18137	18145	18372	18382	19043	12994_a	13008_A	14493_FC	14510_FC	14611_FC	16114_FC	17809_FC	17883_FC	12972_FC	12971_FC	13823_FC	14483_FC	18190_FC	18351_FC
PCW	12	15	12	13	12	12	14	14	13	19	17	13	20	20	20	12	17	19	15	19	20	17	19	19	14	17	16	16	15	16	20	19	18	20	19	17	15	16	12	15	13	16	12	20	13	12	16	16	17	17	16	12	12	12	17	20	19	16	18	17	13	17	20	13	17	17	16	21	14	16	12	13	11	12	14	19	13	19	15	18	18	20	21	17	15	21	16	21	14	13	18	13	13	16	14	14	15	13	17	17	13	15	18	17	15	18	15	21	16	13	18	12	14	14	14	15	17	19	17	19	20	16	20	18	17	19	13	15	14	15	18	14	14	15	18	16	12	14	17	18	15	12	18
Sex	2	1	2	2	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	0	1	1	1	1	2	1	2	1	1	1	1	2	0	1	2	1	1	2	0	1	1	2	1	2	2	2	1	2	1	2	2	1	1	1	1	2	2	2	1	2	1	1	1	2	1	2	1	1	1	2	2	2	2	1	1	1	1	2	1	2	1	2	0	1	1	2	2	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	2	1	1	2	1	2	1	2	2	2	1	2	1	2	2	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1
genPC1	 0.03277830	 0.03335930	 0.03346590	 0.03223310	-0.10159000	 0.01922480	 0.03564620	 0.03452710	 0.03599470	 0.01624790	 0.03346040	-0.29659500	 0.03577940	 0.03499900	 0.00780235	 0.02662110	 0.03364790	 0.03534290	 0.03474630	-0.29225500	-0.01727400	 0.03318410	 0.03405410	 0.03113190	 0.03272980	 0.03266560	 0.00592819	 0.03429730	 0.01919310	-0.02054350	 0.02749590	 0.03670610	 0.03273850	 0.03182290	-0.06009790	 0.01859950	 0.04324490	 0.03409530	 0.03169010	 0.00715302	 0.03638000	 0.03695710	 0.03622610	 0.03423510	 0.03553060	 0.03263780	 0.03724890	-0.17105100	 0.01524450	 0.03441430	 0.03279770	 0.03361490	 0.03524230	 0.03257890	 0.03407790	 0.02735100	 0.03146610	 0.03348410	 0.03301920	 0.03609660	-0.01657840	-0.26817600	-0.03285420	 0.03509870	-0.12185000	 0.03461870	 0.03370100	 0.03316630	 0.03401480	 0.03362810	 0.03346270	 0.03547610	 0.03334600	-0.31958400	-0.01435420	 0.03591070	 0.03479980	-0.07880540	 0.03290300	 0.03304520	 0.03759610	 0.03328590	 0.03144470	 0.01028030	 0.03711160	 0.03580820	 0.03516660	 0.03135170	 0.03445730	 0.02540680	-0.27285700	 0.03480780	 0.03126490	 0.03661100	 0.03432700	 0.03634540	 0.03594600	 0.02347860	 0.03517830	-0.27865600	-0.00616086	-0.03407460	 0.03372940	 0.03318110	 0.03341400	-0.32354000	 0.02324960	-0.03081510	-0.02367450	-0.26353800	 0.03212880	-0.23048400	-0.06022960	 0.03515080	 0.03546260	 0.03482040	 0.03107510	 0.03463260	 0.03597450	 0.03575580	 0.03418930	 0.00891505	 0.03605790	 0.03515740	 0.03401040	-0.02585150	-0.04048630	-0.26061800	 0.03199720	 0.02679030	 0.03434840	 0.04325970	 0.03662430	 0.03333690	 0.03769870	 0.03623580	 0.03668480	 0.03400880	 0.03384890	 0.03487370	 0.03516150	 0.03211650	 0.03274620
genPC2	 0.009296470	 0.008831380	 0.010730400	 0.012403300	-0.008825470	 0.010154800	 0.018811100	 0.007148530	 0.017255900	 0.012170800	 0.011941500	-0.004375430	 0.009842380	 0.011848400	 0.004316550	 0.014902700	 0.015389500	 0.004628830	 0.010186200	-0.013277600	 0.014575300	 0.006896380	 0.006075300	 0.012125900	 0.004641730	 0.021025400	 0.009918640	 0.014255200	 0.025406700	 0.007289580	 0.008214870	 0.012153200	 0.011661500	 0.008481050	 0.007780130	 0.007767100	-0.699249000	 0.003840660	 0.011988100	 0.010463500	 0.013550500	 0.005445300	 0.007758170	 0.017253000	-0.001526720	 0.009503650	 0.012591600	 0.007256440	 0.019842600	 0.012180500	 0.008983690	 0.012174100	 0.012591400	 0.007242870	 0.005157000	 0.002174250	 0.016734100	 0.001517200	 0.006633290	 0.005659520	 0.021433300	-0.015972300	 0.009593470	 0.009583140	 0.003242740	 0.010937600	 0.008162720	 0.013793400	 0.012615600	 0.020977600	 0.008349010	 0.014886000	 0.010123300	-0.011539900	 0.012693100	 0.021698500	 0.019037800	 0.005831930	 0.017457800	 0.005599650	 0.015231800	 0.008956820	 0.013917500	 0.009810090	 0.015665200	 0.025135600	 0.018485700	 0.005780180	 0.012474400	 0.012517100	-0.010463200	 0.007442560	 0.006416900	 0.011006400	 0.011895300	 0.005977200	 0.016234200	 0.011671800	 0.018187000	-0.013651900	 0.026843200	 0.020859300	 0.013479100	 0.013675100	 0.015712700	-0.005742720	 0.015971400	 0.007552530	 0.012798400	-0.005285070	 0.016418400	-0.003680310	 0.003061480	 0.017524700	 0.017805200	 0.005168700	 0.014504600	 0.010225900	 0.014850900	 0.014196500	 0.000670467	 0.017006400	 0.013402900	 0.012059600	 0.019215900	 0.010113800	-0.006884930	 0.000892337	 0.015436300	 0.006860000	 0.010774500	-0.699077000	 0.008588890	-0.002386650	 0.024460400	 0.008529340	 0.014415400	 0.014553900	 0.010592800	 0.009819040	 0.009300180	-0.005628300	 0.003058780
genPC3	 0.031985600	 0.016560000	 0.026800400	 0.023105500	 0.060270300	 0.016930000	 0.034339700	 0.031107000	 0.027378000	 0.005347970	 0.018123700	 0.068471200	 0.024102500	 0.036200400	-0.192406000	-0.026927100	 0.003932930	 0.037559900	 0.006650770	 0.071162600	-0.177105000	 0.010638700	 0.023501900	 0.023053300	 0.008539110	 0.013317300	 0.009109820	 0.051867300	-0.062812400	-0.301624000	-0.016929200	 0.034301300	 0.020869200	-0.000603490	 0.019547100	-0.077830400	-0.017189800	 0.023589200	 0.024261500	-0.196116000	 0.008932520	 0.024278100	 0.026492700	 0.007325440	 0.022293900	 0.024554000	 0.030729800	-0.108715000	-0.087078800	 0.006558490	 0.034527600	 0.013222800	 0.023519400	 0.028554000	 0.024666100	-0.026792200	-0.000252745	 0.031709200	 0.030636900	 0.030266500	-0.299103000	 0.020579600	 0.040112600	 0.020287700	 0.055285900	 0.023300400	 0.015631500	 0.015687500	 0.027000200	 0.025954700	 0.030069800	 0.018032300	 0.044191900	 0.086730700	 0.005285980	 0.042581500	 0.036631100	-0.108609000	 0.024581300	 0.029768700	 0.027681500	 0.031494100	 0.012752900	-0.035411500	 0.053869800	 0.033514200	 0.032689100	 0.028777400	 0.030623700	-0.019269400	 0.091611600	 0.020061700	 0.002367750	 0.025835500	 0.009122690	 0.029007200	 0.036945700	 0.002111760	 0.025465100	 0.051218500	-0.286324000	-0.465747000	 0.017161900	 0.029980800	 0.019449400	 0.067594100	-0.012693100	 0.032715400	-0.098339200	 0.061273900	 0.008620620	 0.017660500	 0.006827190	 0.039269300	 0.053406500	 0.024675100	 0.028021100	 0.046223600	 0.021807700	 0.026983400	 0.032645100	-0.085745600	 0.033761200	 0.020898200	 0.016737600	 0.029393500	 0.033870400	-0.113321000	 0.024566900	-0.013444000	 0.016616200	-0.017205800	 0.042358000	 0.003920280	 0.031251700	 0.033937000	 0.051854900	 0.013909300	 0.028830900	 0.020732900	-0.003573220	 0.026079300	 0.001069720
expPC1	 -18.3896170	 -38.2672966	 -52.2982652	 -65.4215409	 -23.0847214	  33.7438549	 -59.2606487	 -28.4785045	 166.7305602	 -10.4315773	 -66.1354122	  59.8306022	  94.3263065	 -50.9878563	  -0.9418916	  -4.8501804	 122.3822486	 129.0118586	 -11.7228321	 497.1114306	  25.8041639	 158.5346239	  26.3412831	 -43.5668476	 -94.4198373	 -31.3163541	 -81.7278623	 -68.8484172	 -52.3250408	 -23.0016046	 -35.9442699	 -20.3899099	  -5.8406988	 -57.2604901	  59.9679887	 -31.9673321	  99.2434245	 -72.6839480	 -12.5457515	  68.3520087	 -52.7526416	 512.0774823	 -58.4426079	 -92.4313822	 -58.5236668	 -46.1125450	  18.4623158	 -64.6857675	 -75.2951303	 248.0977927	 -73.5904161	 -98.2917176	 -22.9710701	 -28.5521018	 -75.1750168	 -95.6470082	 -94.9858808	 -92.1542880	  18.0017542	 -68.7145222	 -88.7735313	 -77.5557573	  35.4598430	 -78.2491353	 -44.4804241	 -31.4656142	 -53.5256623	 -30.8839382	 -78.2535225	 -67.7664614	  -8.6300578	  -6.4881788	  19.4757408	  72.3226805	   5.6769431	 -39.1436845	 -52.0493685	  61.8874123	   4.0349187	 -20.9494620	 -67.6515414	 -46.2252349	   7.1032963	 -95.3942044	 -73.0136244	 -47.4476477	 -17.3398290	-100.2925384	 -83.0930710	 -30.0732568	 -52.4556815	 -68.0335632	   6.6920429	 164.1317048	 204.9107270	 -69.4240647	 -17.6460646	 -45.3116764	 -11.3340910	  62.4402702	  42.5630803	  -1.0048650	  -9.6067567	  44.9673723	 -51.9810318	 144.0803461	  47.1132727	 -50.0479505	  -7.2265745	   7.5252669	  57.1119216	  97.7617126	 -30.3229880	 -54.5516210	 425.1063988	  39.1393729	   1.5948805	  93.6674086	 -70.0911871	 -76.9805707	 -64.4116569	 172.7768530	 -35.1806783	  21.3548059	 -63.9805166	   6.9864925	 448.6793637	 -25.3638303	 -29.6822707	 -50.7804520	  -4.9877050	  36.0251658	  -8.1473203	 -16.8404637	 -65.9568240	 -48.6974682	 -31.5779848	 -57.4412307	 -54.9717054	  50.8633307	 -57.2863933	 -11.1752233	 -29.6464725
expPC2	   0.8731457	   5.8638531	  -5.4900861	   3.9395020	   1.8815521	  12.5934722	   3.7132031	  -0.9488075	   5.9325459	   0.9438551	  -2.0633709	  12.8468788	   7.0252103	   5.7654206	   0.5440469	   2.8639593	   8.0294523	   4.5255164	  -1.4017695	-262.1296658	  -5.9369032	 -28.7924129	  -1.6503619	   1.9518292	  -2.1449274	   4.9669316	  -3.4666407	   1.2625463	  10.1490105	   4.1655795	  -1.0804607	  12.1739681	  11.0227539	   4.0100442	  -7.3929811	  -0.7994778	  -5.6124580	  -3.5544406	  10.6460637	  25.4907784	   0.2188735	 171.6148875	  -3.3136326	  -1.0073493	  -1.7072252	   2.8228479	  10.3850817	  -1.8687396	  -2.1407742	   0.6447541	   3.4890325	  -1.4892090	   0.4538038	  -1.6586476	  -5.4709381	  -1.1968590	  -0.2501862	  -1.1567217	  -5.9894748	  -6.7495720	  -1.8334395	  -1.0669434	 -18.2961078	   0.4355480	   3.9710915	  -3.1177834	   6.1993785	  -4.0817259	   0.7876468	  -4.2443580	   6.0733092	  12.7816459	  -3.1619713	 -10.3717385	   8.8228568	   2.0594654	   0.9950241	 -12.5425390	  14.4009163	  -4.6117292	   0.4870446	   0.1385535	  -4.4788553	  -0.2638885	  -1.3285673	  -1.0922528	  -0.9150827	  -1.1601083	  -2.5178624	 -11.3679621	  -1.9623497	  -0.3123900	   3.2699871	  -3.1795454	   9.5961520	  -2.7953900	   0.4977290	  -6.8496413	   3.1540649	  18.5218058	   0.4307449	   0.5437508	  -2.9676499	   1.6792462	   0.5627550	  20.9896258	  -0.3426144	   1.2955135	   4.1588959	  -7.1331346	  -6.7959583	  -7.2674637	   4.1843838	 -14.3015089	  93.5785239	   1.9540167	  -0.8962994	 -31.2781336	   1.5670754	  -0.1155261	  -4.1632788	  -8.2358533	   2.4212005	 -10.7431411	   0.8992073	 -10.4677994	   4.0335849	  -7.6722717	   1.5408509	  -0.9382528	   1.1773947	  11.1146302	   2.6040868	  -5.5201652	   1.1714583	  -2.2966674	  -5.7852411	   5.4558950	   2.7174146	  -7.6562452	  -1.6593272	  -0.4438599	  -4.0722306
expPC3	 1.164169e+01	 8.675767e+00	 1.903549e+01	 5.983938e+00	-1.697637e+00	 2.693584e+01	 1.354829e+00	-4.863895e+00	-4.987622e+01	-1.722686e+00	-2.190147e-01	 7.514147e-01	 3.375166e+01	 5.885670e-01	 6.313704e+00	-1.295199e+01	 7.330960e+01	 2.052297e+01	 1.047764e+00	-2.568544e+01	-2.650864e+01	 6.682890e+00	 1.373481e+00	-7.787987e+00	-4.629796e+00	-3.392259e+00	-4.380025e+00	-2.753772e+00	-6.125081e+00	 9.320504e+00	 2.265523e+01	 1.749283e+01	 1.815620e+01	-2.943168e+00	-2.306845e+01	-1.910899e+01	-8.352845e+00	-9.349078e+00	-1.409319e+01	-4.292765e+00	-1.098339e+01	-1.482855e+02	-1.259519e+01	-5.225924e+00	 2.565208e-01	 7.880419e+00	-1.398778e+00	-8.724343e+00	-8.938119e+00	-2.523969e+01	 8.782042e-01	-2.014935e+00	 7.351169e+00	 4.265237e+00	-9.050492e+00	-4.468781e+00	-3.968184e+00	-5.511122e+00	-3.918713e+01	-1.196039e+01	-6.179712e+00	-7.093594e+00	-2.820466e+01	-1.186151e+00	 1.109315e+01	 1.989307e+01	 8.482898e+00	 8.446841e+00	-2.868326e-03	-1.165902e+01	 2.375442e+01	 9.885016e+00	 3.877771e+00	-2.650887e+01	 3.859992e+01	-1.035487e+01	-1.604937e+01	-3.190939e+01	-4.529863e+00	 1.135120e+01	 1.478661e-01	 9.241899e+00	 2.021442e+01	-2.771627e+00	-1.138130e+01	 5.976754e+00	 1.561236e+00	-3.462649e+00	-6.454757e+00	-1.165487e+01	-6.318173e+00	-6.223041e+00	-9.867011e+00	 8.243168e+01	 4.574549e+01	-6.783143e+00	-1.346911e+01	-2.100873e+01	-9.559436e+00	-8.488853e-01	 1.230098e+01	-2.893535e+00	-4.159690e-01	 1.124501e+01	 8.337441e+00	-1.507911e+01	 1.294467e+01	 1.351839e+01	 2.180149e+01	 6.356551e+00	 3.905929e+01	 4.567233e+01	 1.569286e+01	-1.891048e+01	 1.286306e+02	-1.395501e+01	-1.969018e+01	-8.062750e+01	-5.762089e+00	 3.917513e+00	 8.197208e+00	-3.819148e+01	 2.666963e+00	 4.317036e+00	 4.186094e+00	-2.953337e+01	 3.811546e+01	-3.597519e+00	-1.350458e+01	-1.363908e+01	 2.276152e+01	 8.267962e+00	 6.345492e+00	 4.189794e+00	 3.357798e+00	-2.467064e+00	 3.624038e+00	 8.025416e+00	-8.736149e+00	-1.197753e+01	-6.372721e+00	 1.544337e+01	 1.293916e+00
expPC4	 -5.4601265	 -9.5503823	-10.7396534	 -3.7659331	  3.4213961	 -5.2283301	  2.3099418	  2.4255660	 28.5903043	 -6.2048321	  1.6397663	 -0.2230734	-31.4638834	 -1.4520598	 -9.3124130	  1.1069503	-46.4069152	-29.4375089	 -3.3150184	-72.3308503	  0.7444682	 17.9048878	 15.7942479	  3.8274169	  3.1362992	 -0.3849038	  3.2451508	  0.6861057	  3.8499981	 -9.4338838	-16.7738573	-15.0575699	-16.7777385	  3.2549282	  0.3243888	  6.5354405	  7.1652549	  5.2030392	 -0.8851335	  0.7264868	  5.0734498	-88.6309614	  9.1407926	  3.4420528	  1.1328222	 -1.3804928	 -5.9787122	  3.8408839	  4.1343684	 -9.2249684	 -1.3081640	  2.2815672	  2.0694991	  1.6965370	  5.0405995	  3.3516673	  2.9325322	  4.2356012	 18.3007252	  6.8058038	  4.1531209	  4.3753884	  9.5855041	  0.9760295	-10.1951639	-12.0012104	 -5.1812670	 -9.8696299	  0.9211885	  5.2596397	 -8.5150320	 -4.4881971	  1.9178364	 27.3057301	-22.1445129	  2.0585328	  7.4770739	  9.4726383	 -4.5606971	 -8.7103305	 -1.7965007	 -7.9416851	-19.0148490	  3.0766053	  4.5192626	 -7.4657774	 -4.7875008	  3.1153599	  4.1536840	 10.0367120	  4.4773947	  3.2764297	 12.1892202	-17.4682175	 -1.9053872	  6.3117055	  8.9448986	 11.3224719	  6.2681253	  1.3939817	  9.5805729	  2.8468268	 -3.9668462	  2.2815097	 -4.2997517	 13.4285629	 -8.1668010	 -8.9923244	 -9.0255297	  4.7143769	-25.5692165	  8.5800521	 -6.3081450	 10.9780759	 -5.0962003	 10.1322629	  9.5094196	 22.5190973	  1.4447093	 -2.4404193	 -3.9869163	 32.9892366	 -4.6068083	  5.6729004	 -2.8987044	  8.7908967	188.7273449	 10.5880226	  9.5665555	  5.3051939	-17.3994981	-12.5503015	 -4.9449837	 -4.2147707	 -2.6384843	 -3.1712692	 -2.1180679	 -5.1780875	  3.7932636	 -0.3527452	  3.3307787	 -8.4069988	 -4.6509452
