id	1102	1117	1558	1923	2143	11396	11449	11511	11654	11875	11921	11928	12034	12036	12047	12152	12570	12993	13117	13142	13424	13454	13782	13885	13886	13901	13907	13910	13950	14105	14149	14205	14211	14284	14402	14404	14473	14493	14501	14521	14524	14533	14619	14703	14706	14718	14729	14746	14765	14773	14812	14821	14836	14862	15070	15091	15125	15183	15217	15218	15219	15245	15249	15260	15265	15309	15328	15351	15355	15370	15426	15432	15444	15517	15611	15626	15658	15699	15794	15821	15895	15949	15955	15985	16011	16024	16246	16281	16393	16438	16488	16491	16548	16840	16972	17048	17053	17071	17072	17160	17162	17167	17175	17198	17264	17369	17486	17629	17634	17671	17754	17756	17812	17898	17921	17923	17936	17940	17972	17978	18039	18048	18061	18121	18137	18145	18372	18382	19043	12994_a	13008_A	14493_FC	14510_FC	14611_FC	16114_FC	17809_FC	17883_FC	12972_FC	12971_FC	13823_FC	14483_FC	18190_FC	18351_FC
PCW	12	15	12	13	12	12	14	14	13	19	17	13	20	20	20	12	17	19	15	19	20	17	19	19	20	14	17	16	16	15	16	20	19	18	20	19	17	15	16	12	15	13	16	12	20	13	12	16	16	17	17	16	12	12	12	17	20	20	19	16	18	17	13	17	20	13	17	17	16	21	14	16	12	13	11	12	14	19	13	19	15	18	18	20	21	17	15	21	16	21	14	13	18	13	13	16	14	14	15	17	17	13	15	18	17	15	18	15	21	16	13	18	14	14	14	15	17	19	17	19	20	16	20	18	17	19	13	15	14	15	18	14	14	15	18	16	12	14	17	18	15	12	18
Sex	2	1	2	2	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	2	0	1	1	1	1	2	1	2	1	1	1	1	2	0	1	2	1	1	2	0	1	1	2	1	2	2	2	1	2	1	2	2	2	1	1	1	1	2	2	2	1	2	1	1	1	2	1	2	1	1	1	2	2	2	2	1	1	1	1	2	1	2	1	2	0	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	2	2	1	2	2	2	1	2	1	2	2	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1
genPC1	 0.03277830	 0.03335930	 0.03346590	 0.03223310	-0.10159000	 0.01922480	 0.03564620	 0.03452710	 0.03599470	 0.01624790	 0.03346040	-0.29659500	 0.03577940	 0.03499900	 0.00780235	 0.02662110	 0.03364790	 0.03534290	 0.03474630	-0.29225500	-0.01727400	 0.03318410	 0.03405410	 0.03113190	-0.03175350	 0.03272980	 0.03266560	 0.00592819	 0.03429730	 0.01919310	-0.02054350	 0.02749590	 0.03670610	 0.03273850	 0.03182290	-0.06009790	 0.01859950	 0.04324490	 0.03409530	 0.03169010	 0.00715302	 0.03638000	 0.03695710	 0.03622610	 0.03423510	 0.03553060	 0.03263780	 0.03724890	-0.17105100	 0.01524450	 0.03441430	 0.03279770	 0.03361490	 0.03524230	 0.03257890	 0.03407790	 0.02735100	 0.03246970	 0.03146610	 0.03348410	 0.03301920	 0.03609660	-0.01657840	-0.26817600	-0.03285420	 0.03509870	-0.12185000	 0.03461870	 0.03370100	 0.03316630	 0.03401480	 0.03362810	 0.03346270	 0.03547610	 0.03334600	-0.31958400	-0.01435420	 0.03591070	 0.03479980	-0.07880540	 0.03290300	 0.03304520	 0.03759610	 0.03328590	 0.03144470	 0.01028030	 0.03711160	 0.03580820	 0.03516660	 0.03135170	 0.03445730	 0.02540680	-0.27285700	 0.03480780	 0.03126490	 0.03661100	 0.03432700	 0.03634540	 0.03594600	 0.03517830	-0.27865600	-0.00616086	-0.03407460	 0.03372940	 0.03318110	 0.03341400	-0.32354000	 0.02324960	-0.03081510	-0.02367450	-0.26353800	 0.03212880	-0.06022960	 0.03515080	 0.03546260	 0.03482040	 0.03107510	 0.03463260	 0.03597450	 0.03575580	 0.03418930	 0.00891505	 0.03605790	 0.03515740	 0.03401040	-0.02585150	-0.04048630	-0.26061800	 0.03199720	 0.02679030	 0.03434840	 0.04325970	 0.03662430	 0.03333690	 0.03769870	 0.03623580	 0.03668480	 0.03400880	 0.03384890	 0.03487370	 0.03516150	 0.03211650	 0.03274620
genPC2	 0.009296470	 0.008831380	 0.010730400	 0.012403300	-0.008825470	 0.010154800	 0.018811100	 0.007148530	 0.017255900	 0.012170800	 0.011941500	-0.004375430	 0.009842380	 0.011848400	 0.004316550	 0.014902700	 0.015389500	 0.004628830	 0.010186200	-0.013277600	 0.014575300	 0.006896380	 0.006075300	 0.012125900	 0.015564100	 0.004641730	 0.021025400	 0.009918640	 0.014255200	 0.025406700	 0.007289580	 0.008214870	 0.012153200	 0.011661500	 0.008481050	 0.007780130	 0.007767100	-0.699249000	 0.003840660	 0.011988100	 0.010463500	 0.013550500	 0.005445300	 0.007758170	 0.017253000	-0.001526720	 0.009503650	 0.012591600	 0.007256440	 0.019842600	 0.012180500	 0.008983690	 0.012174100	 0.012591400	 0.007242870	 0.005157000	 0.002174250	 0.009740930	 0.016734100	 0.001517200	 0.006633290	 0.005659520	 0.021433300	-0.015972300	 0.009593470	 0.009583140	 0.003242740	 0.010937600	 0.008162720	 0.013793400	 0.012615600	 0.020977600	 0.008349010	 0.014886000	 0.010123300	-0.011539900	 0.012693100	 0.021698500	 0.019037800	 0.005831930	 0.017457800	 0.005599650	 0.015231800	 0.008956820	 0.013917500	 0.009810090	 0.015665200	 0.025135600	 0.018485700	 0.005780180	 0.012474400	 0.012517100	-0.010463200	 0.007442560	 0.006416900	 0.011006400	 0.011895300	 0.005977200	 0.016234200	 0.018187000	-0.013651900	 0.026843200	 0.020859300	 0.013479100	 0.013675100	 0.015712700	-0.005742720	 0.015971400	 0.007552530	 0.012798400	-0.005285070	 0.016418400	 0.003061480	 0.017524700	 0.017805200	 0.005168700	 0.014504600	 0.010225900	 0.014850900	 0.014196500	 0.000670467	 0.017006400	 0.013402900	 0.012059600	 0.019215900	 0.010113800	-0.006884930	 0.000892337	 0.015436300	 0.006860000	 0.010774500	-0.699077000	 0.008588890	-0.002386650	 0.024460400	 0.008529340	 0.014415400	 0.014553900	 0.010592800	 0.009819040	 0.009300180	-0.005628300	 0.003058780
genPC3	 0.031985600	 0.016560000	 0.026800400	 0.023105500	 0.060270300	 0.016930000	 0.034339700	 0.031107000	 0.027378000	 0.005347970	 0.018123700	 0.068471200	 0.024102500	 0.036200400	-0.192406000	-0.026927100	 0.003932930	 0.037559900	 0.006650770	 0.071162600	-0.177105000	 0.010638700	 0.023501900	 0.023053300	-0.462285000	 0.008539110	 0.013317300	 0.009109820	 0.051867300	-0.062812400	-0.301624000	-0.016929200	 0.034301300	 0.020869200	-0.000603490	 0.019547100	-0.077830400	-0.017189800	 0.023589200	 0.024261500	-0.196116000	 0.008932520	 0.024278100	 0.026492700	 0.007325440	 0.022293900	 0.024554000	 0.030729800	-0.108715000	-0.087078800	 0.006558490	 0.034527600	 0.013222800	 0.023519400	 0.028554000	 0.024666100	-0.026792200	 0.031915700	-0.000252745	 0.031709200	 0.030636900	 0.030266500	-0.299103000	 0.020579600	 0.040112600	 0.020287700	 0.055285900	 0.023300400	 0.015631500	 0.015687500	 0.027000200	 0.025954700	 0.030069800	 0.018032300	 0.044191900	 0.086730700	 0.005285980	 0.042581500	 0.036631100	-0.108609000	 0.024581300	 0.029768700	 0.027681500	 0.031494100	 0.012752900	-0.035411500	 0.053869800	 0.033514200	 0.032689100	 0.028777400	 0.030623700	-0.019269400	 0.091611600	 0.020061700	 0.002367750	 0.025835500	 0.009122690	 0.029007200	 0.036945700	 0.025465100	 0.051218500	-0.286324000	-0.465747000	 0.017161900	 0.029980800	 0.019449400	 0.067594100	-0.012693100	 0.032715400	-0.098339200	 0.061273900	 0.008620620	 0.006827190	 0.039269300	 0.053406500	 0.024675100	 0.028021100	 0.046223600	 0.021807700	 0.026983400	 0.032645100	-0.085745600	 0.033761200	 0.020898200	 0.016737600	 0.029393500	 0.033870400	-0.113321000	 0.024566900	-0.013444000	 0.016616200	-0.017205800	 0.042358000	 0.003920280	 0.031251700	 0.033937000	 0.051854900	 0.013909300	 0.028830900	 0.020732900	-0.003573220	 0.026079300	 0.001069720
expPC1	 27.782498	-10.381488	238.323390	  3.277391	-53.862198	-62.344737	-16.701941	-32.568918	-80.680581	 71.301787	-79.466955	-48.228944	101.841669	126.501819	 59.065964	-60.746228	291.949279	152.778926	-38.978111	 89.275466	-27.912166	-76.932494	 35.351484	-31.829626	-24.218676	-81.374368	 27.844682	-78.383827	-78.191098	-81.209761	 -6.023972	565.959401	 77.170629	121.355064	324.177953	 19.386751	-67.585357	-39.772145	-88.858705	-76.956165	-70.215237	-76.878767	-41.229413	-90.444504	-62.514462	-23.957755	-36.087583	-40.871781	-91.256320	-79.920022	-19.511908	 50.466364	-71.731169	-13.636138	-55.610429	-88.879610	-88.496990	-91.016379	-70.456283	-91.639376	-90.945925	-89.835979	-90.095510	-89.118630	-16.104681	-65.518512	 25.429969	104.377098	 62.947695	115.354657	-19.724678	-80.513242	 32.496099	 35.899049	-51.421121	-86.550102	602.805655	-73.950629	-90.402973	-65.184801	-82.953671	 -2.324784	 35.329407	132.559242	226.081603	-90.553909	-90.214247	181.946795	 18.379797	-91.305786	-89.041039	-82.451880	-72.334970	-62.745770	-79.086456	-79.263121	-64.698607	-90.223652	-85.179406	-40.981541	-53.199115	-61.606809	-34.466081	 43.898041	-22.916789	 15.933086	-79.909894	 39.222313	131.669189	 24.640749	-25.092899	330.383357	 -6.455068	-91.328356	-59.517375	-77.745665	-83.180368	-89.454873	-64.120447	 12.090011	186.124038	-86.562645	 65.825717	-43.665937	 -5.455916	-64.186219	130.106178	-52.942883	-86.987155	-85.355986	122.726487	 75.153597	 -5.344129	  2.825624	465.544748	 11.216149	-68.792620	 97.321785	-71.054219	  7.379864	-46.005507	 -8.119445	 86.570415
expPC2	  -4.49053434	  -7.82518745	 -40.26171888	 -10.22897162	  -2.92076670	  -4.75406302	  -1.86516462	   2.23125923	  -3.91471515	  26.24360508	  -5.44998047	  -1.31333615	  19.67752676	   2.64480473	  18.15599194	  -0.16906293	 -31.17497365	  22.60374108	  -1.89840465	  78.95653757	   9.65859894	  -4.95307748	  15.83067416	   1.60480451	  18.89353324	  -3.75733088	  15.71299051	  -3.25446657	  -4.16374258	  -4.80384930	  -1.78677207	 -61.43550993	   0.47245146	  10.34161689	 215.24322493	   4.00215915	  -0.92946757	   1.64335290	  -5.93396404	  -5.42904598	  -3.24424872	  -4.75492568	   2.64993651	  -6.61860503	  -2.49932710	  -1.33802564	  -9.22687788	   1.59100943	  -6.56179907	  -4.07987443	   4.35305407	 -18.12463063	  -7.14748313	  -2.36930745	  -4.84235902	  -5.79441659	  -5.67186601	  -6.71873133	  -3.98610040	  -6.84185052	  -6.26022465	  -6.28183995	  -6.73251877	  -5.67868421	   8.75337493	  -7.09486202	  -2.01743231	  -1.38865399	 -22.61045123	  14.14540804	  -1.21883117	  -3.87301399	 -18.86796819	  -7.03288915	  -2.67180553	  -5.41981699	-163.99829386	  -4.15034598	  -6.33436517	   1.38793496	  -5.60459003	  -0.01316942	  -1.35024942	  -3.03258111	  13.70401454	  -6.44670125	  -6.15766673	  29.61427592	  10.68366257	  -6.63878249	  -5.81992954	  -3.51839237	  -3.76945444	  -2.95069810	  -3.84153822	  -4.24067928	  -1.15157856	  -6.38854610	  -4.69280188	   1.11954372	  -1.40910534	  -0.61200264	   1.53446186	   9.99107051	   1.18666074	   0.23411512	  -4.45045023	   1.16845130	   5.70917700	 -16.51184114	   4.17983428	   2.02092395	  -5.59165344	  -6.60007800	  -3.12292973	  -4.25265390	  -3.62181824	  -5.63036255	  -1.42222188	  -0.33383852	  32.43647711	  -4.58790006	   6.85627813	   3.77085349	   0.17338059	   1.03801024	  34.37258448	   3.13917064	  -5.71182339	  -4.66484462	  -3.74835083	  -3.68354609	   1.83180006	   2.69528354	  54.46419024	   5.63013147	  -2.88455906	 -11.99089476	  -3.27685974	  18.47410641	   8.80615234	  -7.15178031	   5.33013251
expPC3	 -2.82880036	  9.25426024	  9.17440706	  8.22021283	  0.84886068	  4.13529885	  1.29622497	 -4.15068518	  1.87457240	-17.77870578	  1.13929339	  0.61471903	-15.59584674	 -4.77907699	 -6.80283808	  0.08327279	 -8.42439901	-19.20789991	 -3.42259163	-39.65360506	 -7.70216326	  1.73037915	  4.53904143	  3.99450798	 15.31194406	  2.76703801	 -1.04315536	  1.85330912	  3.20552286	  4.35449563	  1.66503118	-69.10597836	 16.81922266	 15.65035749	143.50273222	 -5.57831014	  1.08746711	 -0.06726044	  2.71502294	  3.10522536	  2.97111978	  0.89338319	  6.03022129	  2.73150412	  2.03048058	 -3.57121291	  3.78982348	  0.92967727	  3.05439717	  1.71629997	 -4.55011969	 12.68543735	  3.98387776	 -3.88567240	 -0.55142726	  2.93462115	  2.78822777	  3.11587663	  3.71279102	  3.07162299	  2.88457012	  2.47511421	  3.11532061	  2.64365706	-16.28797368	  3.01135380	 -0.30391644	-18.88357936	 15.69735405	-33.94049179	 -0.30673275	  1.41203007	  6.37003895	  9.66516062	 -0.88341150	  2.20066414	139.15311382	  1.74039154	  3.24415881	 -1.06180829	  3.05238370	 -8.86018913	 -6.47201043	  0.94989282	-44.84468395	  3.45869750	  2.77524562	-22.14284784	 -8.87390809	  3.06112356	  2.51611651	  1.31617131	  1.45130765	  0.97367078	  2.40403935	  3.05365336	  1.96574934	  3.35680947	  2.66679423	 -0.63420073	  3.50335950	  2.67862488	 -5.19691349	-16.68361130	 -1.50439400	  1.14796277	  2.47866164	 -4.44353823	 -7.36409136	  0.58024140	 -0.92613209	-63.83837037	  4.32093628	  2.88350590	  3.61248804	  1.91164913	  3.18421055	  2.50328119	  2.23571768	 -0.31318786	-25.71828465	  2.72107937	-11.98789867	 -5.06993636	  1.56411395	 -2.97123729	  6.29240121	 -1.62469353	  2.98942165	  2.43669776	 -4.11545103	  1.94445304	 -4.68155569	 -5.39512048	-56.48007333	 -0.57746674	  0.81833146	 15.68393438	  1.94211482	 -2.25571819	  4.58423684	  1.36700091	-15.17941538
expPC4	  14.3239950	  -7.0549352	  60.0440781	  -8.3905220	  -2.3691124	  -3.9332579	  -2.1010686	   4.1408784	  -4.1724058	  -0.3310230	  -4.9688856	  -2.2613581	   3.0153235	   5.5085691	   4.9263200	  -1.7284223	  37.0274396	  17.0981860	   1.5638354	  46.0946815	   1.9214197	  -4.7601885	  22.0261442	   4.2855982	  -8.0138566	  -5.2068219	   4.6057095	  -4.9303385	  -6.1713736	  -6.2819784	  -4.1940986	-155.5971181	 -17.8790917	  -7.8122668	 -38.3661925	  14.2815268	  -0.9359872	   2.3771009	  -6.1022823	  -4.9181559	  -4.5610864	  -4.4681350	  -2.3888687	  -6.3743333	  -0.9403213	   4.1181565	  -0.5675245	  -2.6940981	  -6.6210279	  -4.3856464	   8.3297522	 -10.3407051	  -6.0035511	   8.6509853	   0.4542797	  -6.1277366	  -6.4143812	  -6.6588538	  -3.6649307	  -6.6505363	  -6.5245409	  -6.1658874	  -6.1933946	  -6.2975267	  17.5173798	  -4.4320078	  -8.1707714	   3.2399465	 -15.2529897	  16.7421356	  -0.3875471	  -3.8087902	   4.8846205	  -2.0287378	  -1.1326808	  -5.7099364	  30.8625192	  -3.8444068	  -6.5050736	  -1.9591797	  -6.1310724	   2.4221510	   5.2665172	  11.7801032	  19.8995132	  -6.7431123	  -6.3133552	  -1.4751160	  11.8770617	  -6.5695344	  -6.1522019	  -4.1123914	  -3.4986419	  -3.7973755	  -4.3812138	  -6.5309921	  -3.6976945	  -6.4574201	  -5.4068270	   1.7547412	  -4.1582645	  -3.0255381	   1.8303370	  15.3173496	   3.0682476	   2.1543493	  -4.6357072	  18.1523059	 -12.9500660	   1.3095164	   9.9056704	  89.3695281	   1.1437778	  -6.5609537	  -4.1220446	  -4.2243234	  -5.1204847	  -5.9716948	  -4.9313487	  -6.8642069	  10.7674436	  -5.9643443	   2.8625521	   1.7671923	  -3.9574671	   0.9475652	  57.4190250	   0.9472017	  -5.5872649	  -5.2343430	   5.2778089	  20.9487076	   3.0128889	   8.1185724	 -51.7929083	   3.6630160	  -4.6429823	 -10.9472979	  -4.3466325	   7.8487793	  -3.2480850	   1.4095498	  25.1628564
