statistic,12971_FC,12972_FC,12972_Hipp,13008_A,13823_FC,14483_FC,14493_FC,14493_Thal,14493_WGE,14510_FC,14510_Hipp,14510_Thal,14611_FC,16114_FC,16114_Hipp,16114_Thal,16114_WGE,17804_Hipp,17804_Thal,17804_WGE,17809_FC,17809_Thal,17809_WGE,17883_FC,17883_Hipp,17883_Thal,17883_WGE,18184_FC,18184_Thal,18184_WGE,18190_FC,18190_Thal,18190_WGE,18351_FC,18351_Hipp,18351_Thal,18351_WGE,sample_11396,sample_11449,sample_11511,sample_11654,sample_11875,sample_11928,sample_12034,sample_12036,sample_12047,sample_12152,sample_12570,sample_12993,sample_13117,sample_13142,sample_14402,sample_14404,sample_14473,sample_14501,sample_14521,sample_14524,sample_14619,sample_14746,sample_14812,sample_14862,sample_15070,sample_15091,sample_15135,sample_15237,sample_15611,sample_15626,sample_16972,sample_17048,sample_17053,sample_17071,sample_17072,sample_17086,sample_17109,sample_17160,sample_17162,sample_17167,sample_17175,sample_17198,sample_17264,sample_17369,sample_17486,sample_17629,sample_17630,sample_17671,sample_17754,sample_17756,sample_17812,sample_17921,sample_17923,sample_17936,sample_17940,sample_18048,sample_18121,sample_18372,sample_19043,all-sample
sequencing_saturation,0.279,0.281,0.277,0.278,0.274,0.274,0.276,0.276,0.279,0.274,0.276,0.275,0.275,0.275,0.273,0.275,0.274,0.275,0.277,0.274,0.276,0.277,0.272,0.273,0.27,0.271,0.274,0.273,0.277,0.275,0.274,0.273,0.27,0.274,0.273,0.278,0.276,0.278,0.282,0.279,0.271,0.274,0.277,0.277,0.277,0.277,0.276,0.279,0.277,0.276,0.271,0.277,0.273,0.274,0.274,0.279,0.279,0.279,0.276,0.275,0.274,0.272,0.273,0.27,0.267,0.275,0.274,0.274,0.279,0.281,0.276,0.273,0.267,0.27,0.275,0.283,0.279,0.277,0.275,0.278,0.274,0.278,0.275,0.275,0.279,0.276,0.272,0.278,0.281,0.275,0.274,0.276,0.274,0.275,0.278,0.274,0.276
valid_barcode_fraction,0.736,0.737,0.736,0.739,0.737,0.738,0.738,0.738,0.739,0.739,0.737,0.737,0.738,0.738,0.738,0.738,0.737,0.738,0.738,0.737,0.737,0.738,0.739,0.739,0.738,0.737,0.736,0.738,0.737,0.737,0.738,0.738,0.739,0.738,0.74,0.738,0.738,0.739,0.739,0.737,0.737,0.738,0.738,0.738,0.738,0.738,0.737,0.738,0.736,0.737,0.736,0.738,0.739,0.737,0.737,0.735,0.737,0.737,0.738,0.738,0.739,0.739,0.737,0.736,0.736,0.736,0.738,0.738,0.739,0.735,0.736,0.739,0.735,0.736,0.738,0.737,0.736,0.739,0.738,0.739,0.74,0.737,0.739,0.738,0.738,0.737,0.739,0.738,0.738,0.738,0.737,0.737,0.738,0.737,0.738,0.738,0.738
bc1_Q30,0.926,0.925,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.925,0.926,0.926,0.926,0.926,0.926,0.926,0.925,0.925,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.925,0.926,0.925,0.926,0.926,0.926,0.926,0.925,0.925,0.926,0.926,0.926,0.926,0.925,0.926,0.926,0.925,0.925,0.925,0.926,0.926,0.926,0.925,0.926,0.926,0.926,0.925,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.925,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.925,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
bc2_Q30,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946,0.946
bc3_Q30,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.96,0.959,0.959,0.959,0.959,0.959,0.959,0.96,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.96,0.959,0.959,0.959,0.959,0.959,0.96,0.959,0.959,0.959,0.959,0.959,0.96,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.96,0.96,0.959,0.959,0.959,0.959,0.96,0.959,0.959,0.96,0.96,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.96,0.959,0.959,0.959,0.959,0.959,0.959
cDNA_Q30,0.934,0.935,0.934,0.935,0.934,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.934,0.935,0.935,0.935,0.935,0.934,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.934,0.935,0.935,0.935,0.935,0.934,0.934,0.935,0.934,0.935,0.935,0.935,0.934,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935
polyN_Q30,0.957,0.957,0.958,0.957,0.957,0.957,0.957,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.958,0.957,0.957,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.958,0.957,0.957,0.958,0.957,0.957,0.958,0.957,0.957,0.957,0.957,0.958,0.958,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.958,0.957,0.957,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.958,0.958,0.957,0.958,0.957,0.957,0.958,0.957,0.957,0.958,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.958,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.958,0.957,0.957,0.957,0.957,0.957,0.957
transcriptome_map_fraction,0.652,0.654,0.651,0.654,0.652,0.653,0.654,0.653,0.654,0.654,0.652,0.653,0.654,0.653,0.652,0.654,0.652,0.652,0.653,0.653,0.653,0.654,0.653,0.654,0.654,0.652,0.652,0.654,0.651,0.652,0.654,0.652,0.654,0.653,0.653,0.652,0.653,0.655,0.654,0.653,0.652,0.653,0.653,0.654,0.653,0.653,0.654,0.654,0.652,0.653,0.652,0.653,0.655,0.652,0.652,0.651,0.653,0.652,0.653,0.654,0.654,0.653,0.652,0.651,0.651,0.652,0.653,0.653,0.654,0.651,0.651,0.653,0.651,0.651,0.653,0.653,0.652,0.653,0.654,0.654,0.654,0.652,0.654,0.653,0.653,0.652,0.654,0.653,0.654,0.653,0.652,0.652,0.653,0.653,0.653,0.653,0.653
tso_fraction_in_read1,0.491,0.492,0.49,0.492,0.491,0.492,0.492,0.491,0.494,0.491,0.491,0.491,0.492,0.491,0.491,0.492,0.491,0.491,0.492,0.491,0.491,0.492,0.492,0.492,0.492,0.491,0.491,0.491,0.491,0.491,0.492,0.492,0.492,0.491,0.492,0.492,0.492,0.492,0.492,0.491,0.492,0.491,0.491,0.492,0.491,0.491,0.492,0.492,0.491,0.492,0.491,0.492,0.492,0.491,0.491,0.491,0.491,0.491,0.492,0.492,0.492,0.491,0.491,0.491,0.491,0.491,0.492,0.492,0.492,0.49,0.49,0.492,0.49,0.491,0.492,0.491,0.491,0.492,0.492,0.492,0.492,0.491,0.492,0.491,0.491,0.491,0.492,0.492,0.492,0.491,0.491,0.491,0.491,0.492,0.491,0.491,0.491
hg38_fraction_reads_in_cells,0.799,0.874,0.837,0.843,0.613,0.482,0.81,0.852,0.421,0.746,0.254,0.633,0.495,0.895,0.652,0.888,0.675,0.722,0.871,0.561,0.723,0.877,0.626,0.825,0.717,0.68,0.532,0.857,0.633,0.832,0.825,0.813,0.711,0.718,0.75,0.88,0.471,0.875,0.865,0.8,0.892,0.798,0.808,0.857,0.855,0.834,0.866,0.838,0.833,0.845,0.688,0.344,0.811,0.524,0.481,0.607,0.854,0.858,0.763,0.804,0.802,0.695,0.4,0.36,0.497,0.863,0.893,0.631,0.905,0.866,0.545,0.599,0.602,0.634,0.707,0.811,0.861,0.843,0.783,0.795,0.885,0.908,0.841,0.895,0.863,0.753,0.873,0.844,0.919,0.775,0.669,0.201,0.744,0.814,0.892,0.757,0.817
hg38_fraction_tscp_in_cells,0.795,0.869,0.833,0.839,0.61,0.482,0.806,0.848,0.415,0.743,0.251,0.629,0.493,0.891,0.649,0.884,0.673,0.72,0.867,0.559,0.719,0.872,0.625,0.821,0.715,0.678,0.53,0.853,0.63,0.828,0.821,0.81,0.708,0.715,0.747,0.876,0.471,0.87,0.861,0.795,0.889,0.794,0.804,0.852,0.85,0.83,0.863,0.834,0.829,0.841,0.684,0.344,0.808,0.524,0.482,0.602,0.849,0.855,0.759,0.801,0.798,0.692,0.399,0.365,0.496,0.859,0.889,0.629,0.901,0.862,0.543,0.596,0.601,0.635,0.704,0.806,0.857,0.839,0.779,0.791,0.881,0.904,0.837,0.891,0.859,0.751,0.87,0.84,0.915,0.772,0.667,0.203,0.741,0.81,0.888,0.754,0.813
hg38_fraction_exonic,0.226,0.165,0.201,0.167,0.212,0.235,0.186,0.244,0.2,0.196,0.247,0.198,0.233,0.138,0.189,0.159,0.248,0.255,0.163,0.22,0.205,0.16,0.206,0.219,0.278,0.241,0.237,0.22,0.251,0.255,0.177,0.228,0.193,0.199,0.191,0.202,0.212,0.17,0.161,0.222,0.233,0.179,0.213,0.173,0.169,0.196,0.223,0.153,0.177,0.196,0.268,0.244,0.192,0.245,0.234,0.224,0.205,0.212,0.22,0.265,0.2,0.198,0.256,0.237,0.328,0.226,0.231,0.259,0.183,0.182,0.234,0.21,0.271,0.295,0.218,0.214,0.188,0.216,0.206,0.226,0.172,0.23,0.214,0.163,0.175,0.203,0.175,0.177,0.185,0.228,0.306,0.216,0.267,0.217,0.213,0.268,0.198
cell_tscp_cutoff,147.943,515.382,337.738,345.501,326.434,191.605,418.809,440.168,284.111,371.621,1103.98,306.127,234.708,1377.675,527.252,663.089,51.232,292.001,826.751,293.705,301.766,498.381,155.274,259.522,170.04,134.265,136.522,396.19,208.917,132.51,458.989,400.269,455.297,400.749,424.948,282.037,182.117,480.9,469.81,327.216,168.175,379.326,344.37,454.292,327.138,438.608,371.249,398.329,453.049,339.733,407.991,803.102,250.299,256.978,199.474,837.974,583.654,435.804,376.307,476.973,389.788,429.621,174.834,633.083,363.221,236.518,127.608,267.032,752.147,316.04,151.837,177.62,59.905,121.618,265.234,243.151,226.288,258.622,292.133,330.367,658.426,130.571,332.51,761.433,444.426,360.124,684.643,618.597,259.23,300.858,160.206,636.018,628.137,284.459,306.377,127.796,497.708
cell_tscp_f01_slope,3.973,7.068,4.066,6.255,1.74,1.786,4.329,3.132,1.265,3.111,1.324,1.908,2.463,6.592,2.879,8.256,2.399,2.651,6.901,1.51,2.437,5.043,2.62,6.461,1.562,1.828,1.436,6.739,1.274,5.173,4.284,3.383,2.456,3.501,1.856,4.078,1.959,7.579,3.417,2.815,2.638,3.961,2.024,5.183,6.289,3.721,3.486,5.761,3.602,5.133,2.183,1.254,2.778,1.31,1.029,1.839,1.972,1.898,3.035,1.868,4.3,2.239,1.069,1.033,1.207,7.998,4.223,1.536,4.52,3.387,1.614,1.875,1.395,1.223,2.046,2.882,6.814,6.475,4.658,3.886,7.229,8.082,6,5.464,6.88,3.212,6.301,6.968,8.146,1.747,1.297,0.999,1.595,5.268,3.165,1.82,4.417
