well,count
A1,7956
A2,12214
A3,3878
A4,8998
A5,8210
A6,14227
A7,7630
A8,17680
A9,8362
A10,7859
A11,9852
A12,11151
B1,9072
B2,4465
B3,7079
B4,7243
B5,1519
B6,5331
B7,7482
B8,6801
B9,6299
B10,2724
B11,11983
B12,16387
C1,7895
C2,9661
C3,6339
C4,11536
C5,18219
C6,10355
C7,3515
C8,13089
C9,3207
C10,10162
C11,8901
C12,7964
D1,6981
D2,8965
D3,8705
D4,9243
D5,6842
D6,6217
D7,8465
D8,18844
D9,18429
D10,24312
D11,16719
D12,10319
E1,8555
E2,8787
E3,7767
E4,8465
E5,10402
E6,7501
E7,8714
E8,9585
E9,7853
E10,9398
E11,22821
E12,10559
F1,8692
F2,10418
F3,3522
F4,10025
F5,11492
F6,9083
F7,9266
F8,11999
F9,11232
F10,8211
F11,9804
F12,13607
G1,8390
G2,8871
G3,6436
G4,7164
G5,14326
G6,19674
G7,10414
G8,10088
G9,9750
G10,9417
G11,8727
G12,7891
H1,10758
H2,11447
H3,8838
H4,10595
H5,11503
H6,8907
H7,11895
H8,7824
H9,7667
H10,7308
H11,11023
H12,6350
