well,count
A1,9973
A2,8224
A3,9817
A4,9227
A5,9711
A6,8141
A7,8566
A8,9013
A9,9461
A10,9261
A11,9067
A12,9064
B1,9453
B2,9926
B3,9641
B4,8958
B5,9477
B6,8743
B7,9137
B8,8725
B9,9218
B10,9981
B11,10010
B12,9534
C1,9277
C2,8867
C3,9042
C4,9310
C5,9081
C6,9125
C7,8568
C8,8826
C9,9080
C10,9482
C11,9437
C12,9146
D1,9091
D2,9712
D3,9146
D4,9063
D5,9456
D6,9564
D7,9260
D8,8880
D9,9064
D10,9099
D11,9593
D12,8560
E1,9113
E2,9101
E3,8759
E4,8864
E5,9229
E6,9259
E7,9005
E8,8931
E9,8564
E10,9448
E11,9379
E12,9194
F1,9927
F2,9183
F3,9339
F4,9274
F5,9711
F6,9679
F7,9056
F8,9451
F9,8999
F10,9525
F11,9452
F12,9524
G1,12593
G2,11866
G3,12014
G4,11373
G5,10580
G6,10662
G7,9758
G8,10440
G9,12003
G10,10896
G11,11689
G12,11834
H1,11372
H2,10721
H3,12288
H4,11554
H5,10940
H6,11476
H7,11449
H8,11082
H9,11092
H10,10401
H11,10337
H12,9864
