well,count
A1,1027
A2,836
A3,1031
A4,991
A5,1051
A6,943
A7,950
A8,992
A9,1023
A10,1055
A11,1030
A12,1037
B1,1052
B2,1064
B3,1036
B4,1027
B5,1042
B6,1028
B7,1047
B8,1029
B9,1077
B10,1030
B11,1033
B12,1043
C1,996
C2,987
C3,1059
C4,1044
C5,1026
C6,1100
C7,1037
C8,1034
C9,1043
C10,1079
C11,1046
C12,1055
D1,1015
D2,1064
D3,1032
D4,1046
D5,1035
D6,1049
D7,1030
D8,1028
D9,1017
D10,1054
D11,1044
D12,965
E1,1023
E2,1018
E3,1006
E4,1021
E5,974
E6,1036
E7,993
E8,1007
E9,1006
E10,992
E11,1029
E12,998
F1,1055
F2,1004
F3,1098
F4,1088
F5,1016
F6,1063
F7,970
F8,1044
F9,1030
F10,1013
F11,1021
F12,1051
G1,1056
G2,1064
G3,1073
G4,1077
G5,1048
G6,1037
G7,1049
G8,1039
G9,1087
G10,1033
G11,1061
G12,1080
H1,1086
H2,1098
H3,1092
H4,1074
H5,1055
H6,1077
H7,1083
H8,1032
H9,1039
H10,1035
H11,1037
H12,1025
