well,count
A1,1198
A2,993
A3,755
A4,1012
A5,1148
A6,1186
A7,1166
A8,967
A9,928
A10,857
A11,1012
A12,1038
B1,1218
B2,1062
B3,1128
B4,841
B5,1072
B6,1253
B7,1065
B8,1059
B9,1039
B10,1006
B11,986
B12,1064
C1,880
C2,1001
C3,1184
C4,1125
C5,1139
C6,722
C7,1157
C8,1000
C9,1120
C10,929
C11,1137
C12,1173
D1,972
D2,1057
D3,1139
D4,1107
D5,1014
D6,1017
D7,844
D8,901
D9,807
D10,1189
D11,809
D12,1201
E1,988
E2,1094
E3,940
E4,1055
E5,952
E6,956
E7,740
E8,1173
E9,1124
E10,1140
E11,1114
E12,908
F1,1040
F2,1042
F3,1183
F4,1115
F5,1111
F6,1061
F7,1096
F8,1015
F9,1161
F10,971
F11,978
F12,1078
G1,1044
G2,1032
G3,1191
G4,971
G5,912
G6,985
G7,1047
G8,983
G9,1137
G10,917
G11,800
G12,1127
H1,1098
H2,965
H3,1177
H4,1165
H5,832
H6,1003
H7,1083
H8,912
H9,1022
