1	13901
2	16024
3	16385
4	16438
5	16488
6	16491
7	16548
8	16840
9	18382
10	12994_a
11	17767
12	1102
13	1117
14	1118
15	1558
16	1923
17	2143
18	11834
19	11921
20	13424
21	13454
22	13782
23	13885
24	13886
25	13907
26	13910
27	13950
28	14105
29	14149
30	14159
31	14160
32	14205
33	14211
34	14284
35	14493
36	14533
37	14703
38	14706
39	14718
40	14729
41	14765
42	14773
43	14821
44	14836
45	15125
46	15183
47	15217
48	15218
49	15219
50	15245
51	15248
52	15249
53	15260
54	15265
55	15309
56	15328
57	15351
58	15355
59	15370
60	15426
61	15432
62	15444
63	15517
64	15658
65	15699
66	15794
67	15821
68	15895
69	15949
70	15955
71	15985
72	16011
73	16246
74	16281
75	16393
76	17634
77	17898
78	17972
79	17978
80	18011
81	18039
82	18061
83	18137
84	18145
85	14521
86	14402
87	17940
88	11875
89	16114_Hipp
90	14611_FC
91	14493_WGE
92	14510_Thal
93	18351_WGE
94	14483_FC
95	18351_Hipp
96	14510_FC
