bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well
10_01_12,12994_a,hg38,1031,1445,3229,10,1,12,A10,A1,A12
10_01_32,12994_a,hg38,469,582,1284,10,1,32,A10,A1,C8
10_01_49,12994_a,hg38,784,1070,2293,10,1,49,A10,A1,E1
10_02_08,12994_a,hg38,664,802,1733,10,2,8,A10,A2,A8
10_02_79,12994_a,hg38,333,374,818,10,2,79,A10,A2,G7
10_03_04,12994_a,hg38,998,1325,2936,10,3,4,A10,A3,A4
10_03_20,12994_a,hg38,754,956,2074,10,3,20,A10,A3,B8
10_03_80,12994_a,hg38,536,670,1397,10,3,80,A10,A3,G8
10_03_89,12994_a,hg38,2081,3714,8144,10,3,89,A10,A3,H5
10_04_28,12994_a,hg38,774,1096,2305,10,4,28,A10,A4,C4
10_04_49,12994_a,hg38,1137,1565,3408,10,4,49,A10,A4,E1
10_04_68,12994_a,hg38,1439,2155,4902,10,4,68,A10,A4,F8
10_04_72,12994_a,hg38,1960,3129,7104,10,4,72,A10,A4,F12
10_04_96,12994_a,hg38,1541,2698,5904,10,4,96,A10,A4,H12
10_05_34,12994_a,hg38,1741,2837,6280,10,5,34,A10,A5,C10
10_05_35,12994_a,hg38,866,1274,2669,10,5,35,A10,A5,C11
10_05_43,12994_a,hg38,377,465,969,10,5,43,A10,A5,D7
10_05_89,12994_a,hg38,1477,2151,4658,10,5,89,A10,A5,H5
10_06_34,12994_a,hg38,303,344,745,10,6,34,A10,A6,C10
10_06_52,12994_a,hg38,1168,1832,3980,10,6,52,A10,A6,E4
10_06_75,12994_a,hg38,527,633,1406,10,6,75,A10,A6,G3
10_07_02,12994_a,hg38,1388,1979,4304,10,7,2,A10,A7,A2
10_07_05,12994_a,hg38,450,534,1156,10,7,5,A10,A7,A5
10_07_11,12994_a,hg38,481,624,1372,10,7,11,A10,A7,A11
10_07_30,12994_a,hg38,3338,7210,15936,10,7,30,A10,A7,C6
10_07_60,12994_a,hg38,676,923,2023,10,7,60,A10,A7,E12
10_07_64,12994_a,hg38,714,986,2247,10,7,64,A10,A7,F4
10_07_71,12994_a,hg38,1082,1559,3380,10,7,71,A10,A7,F11
10_08_03,12994_a,hg38,278,337,680,10,8,3,A10,A8,A3
10_08_17,12994_a,hg38,1828,2867,6044,10,8,17,A10,A8,B5
10_08_22,12994_a,hg38,443,538,1145,10,8,22,A10,A8,B10
10_08_25,12994_a,hg38,570,781,1674,10,8,25,A10,A8,C1
10_08_41,12994_a,hg38,380,446,966,10,8,41,A10,A8,D5
10_08_48,12994_a,hg38,4718,11325,24200,10,8,48,A10,A8,D12
10_08_60,12994_a,hg38,738,922,2045,10,8,60,A10,A8,E12
10_08_71,12994_a,hg38,457,551,1131,10,8,71,A10,A8,F11
10_08_74,12994_a,hg38,953,1247,2775,10,8,74,A10,A8,G2
10_08_77,12994_a,hg38,2482,4098,8785,10,8,77,A10,A8,G5
10_08_96,12994_a,hg38,1444,2259,4890,10,8,96,A10,A8,H12
10_09_12,12994_a,hg38,738,1000,2198,10,9,12,A10,A9,A12
10_09_56,12994_a,hg38,3452,6767,15223,10,9,56,A10,A9,E8
10_09_61,12994_a,hg38,1337,1959,4245,10,9,61,A10,A9,F1
10_09_81,12994_a,hg38,301,376,835,10,9,81,A10,A9,G9
10_09_84,12994_a,hg38,571,706,1590,10,9,84,A10,A9,G12
10_11_04,12994_a,hg38,381,503,1084,10,11,4,A10,A11,A4
10_11_55,12994_a,hg38,1327,1832,3958,10,11,55,A10,A11,E7
10_11_66,12994_a,hg38,3130,5851,13123,10,11,66,A10,A11,F6
10_12_18,12994_a,hg38,569,716,1551,10,12,18,A10,A12,B6
10_12_25,12994_a,hg38,435,497,1020,10,12,25,A10,A12,C1
10_12_28,12994_a,hg38,8271,34035,74654,10,12,28,A10,A12,C4
10_12_29,12994_a,hg38,2480,4206,9018,10,12,29,A10,A12,C5
10_12_30,12994_a,hg38,1957,3073,6567,10,12,30,A10,A12,C6
10_12_39,12994_a,hg38,1638,2602,5435,10,12,39,A10,A12,D3
10_12_63,12994_a,hg38,817,1066,2336,10,12,63,A10,A12,F3
10_12_72,12994_a,hg38,1635,2475,5536,10,12,72,A10,A12,F12
10_13_10,12994_a,hg38,491,610,1265,10,13,10,A10,B1,A10
