bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well
73_01_47,12971_FC,hg38,5986,17314,38995,73,1,47,G1,A1,D11
73_01_65,12971_FC,hg38,3365,6599,14896,73,1,65,G1,A1,F5
73_01_66,12971_FC,hg38,3369,7182,16283,73,1,66,G1,A1,F6
73_01_96,12971_FC,hg38,2170,3884,9174,73,1,96,G1,A1,H12
73_02_40,12971_FC,hg38,1143,1644,3776,73,2,40,G1,A2,D4
73_02_46,12971_FC,hg38,576,724,1603,73,2,46,G1,A2,D10
73_03_01,12971_FC,hg38,1130,1516,3359,73,3,1,G1,A3,A1
73_03_09,12971_FC,hg38,306,370,866,73,3,9,G1,A3,A9
73_03_34,12971_FC,hg38,1442,2085,4813,73,3,34,G1,A3,C10
73_03_35,12971_FC,hg38,3400,6793,15075,73,3,35,G1,A3,C11
73_03_36,12971_FC,hg38,898,1300,2960,73,3,36,G1,A3,C12
73_03_77,12971_FC,hg38,296,344,806,73,3,77,G1,A3,G5
73_04_46,12971_FC,hg38,298,342,775,73,4,46,G1,A4,D10
73_04_56,12971_FC,hg38,872,1133,2698,73,4,56,G1,A4,E8
73_04_65,12971_FC,hg38,706,947,2133,73,4,65,G1,A4,F5
73_04_78,12971_FC,hg38,1421,2070,4693,73,4,78,G1,A4,G6
73_04_84,12971_FC,hg38,636,824,1953,73,4,84,G1,A4,G12
73_04_91,12971_FC,hg38,624,728,1625,73,4,91,G1,A4,H7
73_04_92,12971_FC,hg38,1275,1940,4446,73,4,92,G1,A4,H8
73_05_06,12971_FC,hg38,10424,55625,129819,73,5,6,G1,A5,A6
73_05_16,12971_FC,hg38,789,1051,2450,73,5,16,G1,A5,B4
73_05_62,12971_FC,hg38,1177,1669,3663,73,5,62,G1,A5,F2
73_05_67,12971_FC,hg38,447,549,1172,73,5,67,G1,A5,F7
73_05_69,12971_FC,hg38,1273,1907,4163,73,5,69,G1,A5,F9
73_05_84,12971_FC,hg38,1689,2543,5743,73,5,84,G1,A5,G12
73_05_90,12971_FC,hg38,1759,2939,6713,73,5,90,G1,A5,H6
73_06_29,12971_FC,hg38,668,922,2098,73,6,29,G1,A6,C5
73_06_38,12971_FC,hg38,1098,1564,3494,73,6,38,G1,A6,D2
73_06_54,12971_FC,hg38,1833,2896,6537,73,6,54,G1,A6,E6
73_06_59,12971_FC,hg38,5676,15097,34222,73,6,59,G1,A6,E11
73_06_79,12971_FC,hg38,1466,2235,5231,73,6,79,G1,A6,G7
73_07_62,12971_FC,hg38,3597,7775,17888,73,7,62,G1,A7,F2
73_07_80,12971_FC,hg38,306,342,750,73,7,80,G1,A7,G8
73_07_85,12971_FC,hg38,917,1232,2806,73,7,85,G1,A7,H1
73_07_95,12971_FC,hg38,2039,3335,7546,73,7,95,G1,A7,H11
73_08_02,12971_FC,hg38,433,534,1195,73,8,2,G1,A8,A2
73_08_08,12971_FC,hg38,475,618,1339,73,8,8,G1,A8,A8
73_08_19,12971_FC,hg38,886,1287,2875,73,8,19,G1,A8,B7
73_08_29,12971_FC,hg38,1166,1622,3675,73,8,29,G1,A8,C5
73_08_37,12971_FC,hg38,1312,1954,4389,73,8,37,G1,A8,D1
73_08_42,12971_FC,hg38,1985,3433,7449,73,8,42,G1,A8,D6
73_08_46,12971_FC,hg38,825,1086,2425,73,8,46,G1,A8,D10
73_08_74,12971_FC,hg38,742,975,2194,73,8,74,G1,A8,G2
73_09_17,12971_FC,hg38,3379,6775,15537,73,9,17,G1,A9,B5
73_09_26,12971_FC,hg38,388,463,1003,73,9,26,G1,A9,C2
73_09_74,12971_FC,hg38,1687,2680,6185,73,9,74,G1,A9,G2
73_09_93,12971_FC,hg38,1154,1572,3674,73,9,93,G1,A9,H9
73_10_29,12971_FC,hg38,432,527,1182,73,10,29,G1,A10,C5
73_10_42,12971_FC,hg38,400,488,1082,73,10,42,G1,A10,D6
73_10_46,12971_FC,hg38,479,576,1295,73,10,46,G1,A10,D10
73_10_50,12971_FC,hg38,1594,2593,5894,73,10,50,G1,A10,E2
73_10_76,12971_FC,hg38,1583,2455,5481,73,10,76,G1,A10,G4
73_11_25,12971_FC,hg38,4964,12628,28270,73,11,25,G1,A11,C1
73_11_27,12971_FC,hg38,720,930,1967,73,11,27,G1,A11,C3
73_11_35,12971_FC,hg38,3922,8330,18467,73,11,35,G1,A11,C11
73_11_41,12971_FC,hg38,491,632,1448,73,11,41,G1,A11,D5
73_11_53,12971_FC,hg38,645,829,1894,73,11,53,G1,A11,E5
73_11_54,12971_FC,hg38,634,817,1712,73,11,54,G1,A11,E6
73_11_64,12971_FC,hg38,548,638,1499,73,11,64,G1,A11,F4
73_11_77,12971_FC,hg38,2058,3353,7565,73,11,77,G1,A11,G5
73_11_94,12971_FC,hg38,484,615,1352,73,11,94,G1,A11,H10
73_12_05,12971_FC,hg38,1842,3696,8423,73,12,5,G1,A12,A5
73_12_18,12971_FC,hg38,2390,3916,8916,73,12,18,G1,A12,B6
73_12_35,12971_FC,hg38,548,675,1444,73,12,35,G1,A12,C11
73_12_39,12971_FC,hg38,300,362,777,73,12,39,G1,A12,D3
73_12_46,12971_FC,hg38,610,819,1850,73,12,46,G1,A12,D10
73_12_66,12971_FC,hg38,977,1404,3050,73,12,66,G1,A12,F6
73_12_73,12971_FC,hg38,854,1150,2577,73,12,73,G1,A12,G1
