bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well
10_01_09,12994_a,hg38,582,737,1817,10,1,9,A10,A1,A9
10_01_13,12994_a,hg38,834,1199,2948,10,1,13,A10,A1,B1
10_01_32,12994_a,hg38,478,573,1326,10,1,32,A10,A1,C8
10_01_35,12994_a,hg38,3102,6344,15571,10,1,35,A10,A1,C11
10_01_42,12994_a,hg38,808,1145,2693,10,1,42,A10,A1,D6
10_01_46,12994_a,hg38,628,816,1970,10,1,46,A10,A1,D10
10_01_73,12994_a,hg38,2082,3530,8679,10,1,73,A10,A1,G1
10_01_85,12994_a,hg38,626,847,2162,10,1,85,A10,A1,H1
10_01_87,12994_a,hg38,2877,5140,12885,10,1,87,A10,A1,H3
10_02_06,12994_a,hg38,585,761,2019,10,2,6,A10,A2,A6
10_02_22,12994_a,hg38,371,424,1020,10,2,22,A10,A2,B10
10_02_29,12994_a,hg38,381,444,1067,10,2,29,A10,A2,C5
10_02_33,12994_a,hg38,733,967,2418,10,2,33,A10,A2,C9
10_02_44,12994_a,hg38,244,277,671,10,2,44,A10,A2,D8
10_02_45,12994_a,hg38,354,406,1027,10,2,45,A10,A2,D9
10_02_59,12994_a,hg38,1819,2868,6958,10,2,59,A10,A2,E11
10_04_22,12994_a,hg38,2526,4641,11321,10,4,22,A10,A4,B10
10_04_28,12994_a,hg38,1426,2184,5251,10,4,28,A10,A4,C4
10_05_34,12994_a,hg38,1401,2062,4939,10,5,34,A10,A5,C10
10_05_41,12994_a,hg38,5839,16830,40616,10,5,41,A10,A5,D5
10_06_43,12994_a,hg38,276,328,831,10,6,43,A10,A6,D7
10_06_46,12994_a,hg38,753,1021,2594,10,6,46,A10,A6,D10
10_06_96,12994_a,hg38,1028,1432,3497,10,6,96,A10,A6,H12
10_07_12,12994_a,hg38,712,925,2247,10,7,12,A10,A7,A12
10_07_31,12994_a,hg38,1672,2685,6554,10,7,31,A10,A7,C7
10_07_40,12994_a,hg38,803,1093,2680,10,7,40,A10,A7,D4
10_07_44,12994_a,hg38,432,546,1318,10,7,44,A10,A7,D8
10_07_52,12994_a,hg38,1422,2095,5080,10,7,52,A10,A7,E4
10_07_81,12994_a,hg38,375,434,1136,10,7,81,A10,A7,G9
10_07_95,12994_a,hg38,267,312,818,10,7,95,A10,A7,H11
10_08_27,12994_a,hg38,1394,2191,5270,10,8,27,A10,A8,C3
10_08_28,12994_a,hg38,764,981,2405,10,8,28,A10,A8,C4
