statistic,12971_FC,12972_FC,12972_Hipp,13008_A,13823_FC,14483_FC,14493_FC,14493_Thal,14493_WGE,14510_FC,14510_Hipp,14510_Thal,14611_FC,16114_FC,16114_Hipp,16114_Thal,16114_WGE,17804_Hipp,17804_Thal,17804_WGE,17809_FC,17809_Thal,17809_WGE,17883_FC,17883_Hipp,17883_Thal,17883_WGE,18184_FC,18184_Thal,18184_WGE,18190_FC,18190_Thal,18190_WGE,18351_FC,18351_Hipp,18351_Thal,18351_WGE,sample_11396,sample_11449,sample_11511,sample_11654,sample_11875,sample_11928,sample_12034,sample_12036,sample_12047,sample_12152,sample_12570,sample_12993,sample_13117,sample_13142,sample_14402,sample_14404,sample_14473,sample_14501,sample_14521,sample_14524,sample_14619,sample_14746,sample_14812,sample_14862,sample_15070,sample_15091,sample_15135,sample_15237,sample_15611,sample_15626,sample_16972,sample_17048,sample_17053,sample_17071,sample_17072,sample_17086,sample_17109,sample_17160,sample_17162,sample_17167,sample_17175,sample_17198,sample_17264,sample_17369,sample_17486,sample_17629,sample_17630,sample_17671,sample_17754,sample_17756,sample_17812,sample_17921,sample_17923,sample_17936,sample_17940,sample_18048,sample_18121,sample_18372,sample_19043,all-sample
sequencing_saturation,0.521,0.529,0.515,0.524,0.517,0.516,0.521,0.515,0.53,0.52,0.52,0.516,0.519,0.52,0.517,0.521,0.516,0.515,0.523,0.519,0.52,0.523,0.516,0.518,0.509,0.511,0.517,0.517,0.519,0.518,0.52,0.512,0.514,0.518,0.516,0.519,0.521,0.527,0.53,0.521,0.506,0.515,0.518,0.523,0.521,0.522,0.518,0.527,0.52,0.518,0.512,0.522,0.519,0.514,0.515,0.519,0.522,0.519,0.518,0.517,0.519,0.514,0.513,0.509,0.499,0.516,0.513,0.515,0.525,0.522,0.517,0.516,0.502,0.504,0.517,0.529,0.522,0.522,0.521,0.522,0.52,0.519,0.519,0.522,0.525,0.519,0.518,0.524,0.527,0.517,0.515,0.519,0.513,0.518,0.518,0.514,0.52
valid_barcode_fraction,0.752,0.753,0.752,0.753,0.752,0.753,0.753,0.753,0.753,0.753,0.752,0.753,0.753,0.753,0.754,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.754,0.754,0.753,0.753,0.753,0.753,0.753,0.752,0.753,0.754,0.753,0.753,0.755,0.754,0.753,0.754,0.753,0.753,0.754,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.752,0.753,0.753,0.753,0.753,0.754,0.754,0.753,0.753,0.753,0.753,0.754,0.754,0.753,0.752,0.752,0.754,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.754,0.753,0.753,0.753,0.752,0.753,0.754,0.753,0.753,0.753,0.753,0.753,0.754,0.753,0.753,0.753,0.753
bc1_Q30,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.919,0.918,0.918,0.918,0.918,0.918,0.919,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918
bc2_Q30,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
bc3_Q30,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.95,0.949,0.949,0.949,0.949,0.949,0.95,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949
cDNA_Q30,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.922,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921
polyN_Q30,0.944,0.944,0.945,0.944,0.944,0.944,0.944,0.945,0.944,0.944,0.944,0.944,0.944,0.944,0.945,0.944,0.944,0.945,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.945,0.945,0.944,0.944,0.944,0.944,0.945,0.945,0.944,0.944,0.944,0.945,0.945,0.945,0.945,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.945,0.944,0.944,0.945,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.945,0.945,0.944,0.944,0.945,0.944,0.945,0.944,0.945,0.945,0.945,0.944,0.944,0.944,0.944,0.944,0.945,0.944,0.945,0.944,0.944,0.944,0.945,0.944,0.944,0.944,0.944,0.945,0.945,0.944,0.944,0.944,0.944,0.944
transcriptome_map_fraction,0.684,0.685,0.683,0.684,0.683,0.684,0.685,0.684,0.684,0.684,0.684,0.684,0.685,0.684,0.684,0.684,0.684,0.683,0.684,0.684,0.685,0.685,0.685,0.685,0.684,0.683,0.684,0.684,0.683,0.683,0.685,0.684,0.685,0.684,0.684,0.684,0.684,0.685,0.685,0.684,0.684,0.683,0.684,0.685,0.684,0.684,0.685,0.685,0.684,0.685,0.684,0.684,0.685,0.683,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.683,0.683,0.684,0.685,0.684,0.684,0.683,0.683,0.684,0.683,0.683,0.684,0.684,0.684,0.684,0.685,0.684,0.684,0.683,0.685,0.683,0.683,0.684,0.685,0.684,0.685,0.684,0.684,0.683,0.684,0.685,0.684,0.684,0.684
tso_fraction_in_read1,0.495,0.496,0.494,0.495,0.494,0.496,0.495,0.495,0.497,0.495,0.495,0.495,0.496,0.495,0.495,0.496,0.495,0.495,0.496,0.495,0.495,0.496,0.496,0.496,0.496,0.495,0.496,0.495,0.495,0.494,0.496,0.496,0.495,0.494,0.495,0.496,0.495,0.496,0.496,0.495,0.496,0.495,0.495,0.495,0.495,0.495,0.496,0.495,0.495,0.496,0.495,0.495,0.496,0.495,0.495,0.495,0.495,0.495,0.495,0.496,0.496,0.495,0.495,0.495,0.495,0.495,0.496,0.495,0.495,0.494,0.494,0.495,0.494,0.495,0.495,0.495,0.495,0.495,0.495,0.496,0.495,0.495,0.495,0.495,0.494,0.495,0.496,0.496,0.496,0.495,0.495,0.495,0.495,0.496,0.495,0.495,0.495
hg38_fraction_reads_in_cells,0.798,0.874,0.836,0.843,0.614,0.485,0.811,0.851,0.427,0.748,0.268,0.63,0.495,0.895,0.654,0.889,0.677,0.723,0.872,0.562,0.723,0.877,0.628,0.825,0.718,0.678,0.53,0.858,0.628,0.833,0.825,0.813,0.714,0.719,0.751,0.88,0.47,0.876,0.865,0.798,0.891,0.798,0.807,0.857,0.856,0.835,0.866,0.839,0.833,0.844,0.687,0.353,0.812,0.523,0.491,0.603,0.851,0.856,0.762,0.802,0.803,0.696,0.405,0.37,0.493,0.863,0.892,0.632,0.905,0.865,0.544,0.598,0.594,0.554,0.706,0.81,0.861,0.843,0.783,0.795,0.885,0.908,0.841,0.896,0.864,0.753,0.875,0.845,0.919,0.774,0.665,0.168,0.738,0.815,0.892,0.759,0.817
hg38_fraction_tscp_in_cells,0.788,0.861,0.826,0.831,0.606,0.482,0.799,0.841,0.408,0.738,0.263,0.623,0.489,0.883,0.645,0.878,0.671,0.717,0.859,0.556,0.713,0.864,0.622,0.815,0.711,0.673,0.525,0.846,0.622,0.821,0.814,0.804,0.703,0.71,0.742,0.869,0.468,0.862,0.853,0.787,0.882,0.786,0.797,0.845,0.843,0.824,0.855,0.827,0.822,0.833,0.675,0.35,0.802,0.521,0.486,0.594,0.839,0.847,0.751,0.791,0.793,0.687,0.404,0.376,0.495,0.852,0.882,0.626,0.894,0.854,0.539,0.592,0.594,0.556,0.697,0.799,0.849,0.831,0.772,0.784,0.874,0.898,0.83,0.884,0.852,0.745,0.863,0.832,0.907,0.767,0.66,0.174,0.73,0.803,0.882,0.75,0.806
hg38_fraction_exonic,0.222,0.163,0.197,0.164,0.209,0.232,0.184,0.236,0.197,0.194,0.243,0.193,0.229,0.137,0.186,0.155,0.243,0.252,0.157,0.218,0.203,0.153,0.205,0.217,0.275,0.238,0.233,0.217,0.246,0.251,0.175,0.224,0.191,0.197,0.188,0.196,0.21,0.166,0.16,0.22,0.229,0.178,0.21,0.17,0.166,0.194,0.221,0.151,0.175,0.194,0.263,0.237,0.19,0.241,0.231,0.22,0.202,0.209,0.217,0.261,0.198,0.196,0.252,0.233,0.322,0.224,0.23,0.253,0.179,0.179,0.229,0.207,0.266,0.29,0.215,0.21,0.185,0.214,0.204,0.223,0.171,0.227,0.212,0.161,0.173,0.2,0.174,0.175,0.182,0.225,0.299,0.211,0.262,0.213,0.209,0.264,0.195
cell_tscp_cutoff,350.474,1255.117,836.993,836.738,779.311,455.556,1021.163,1085.533,703.373,890.608,2565.809,750.818,565.886,3467.958,1271.03,1647.338,116.929,706.022,2012.599,708.166,714.151,1244.126,374.62,633.085,413.186,325.571,331.906,972.233,511.527,317.943,1120.706,984.024,1109.546,965.031,1059.703,682.93,435.637,1199.232,1147.448,789.577,423.546,926.819,840.61,1113.867,819.298,1049.052,910.391,963.896,1106.562,834.774,1007.155,1847.56,611.493,612.047,375.268,1978.581,1534.482,1074.72,906.274,1210.514,940.654,1051.023,407.663,1328.532,900.955,575.643,317.992,641.56,1886.341,765.142,358.118,427.574,153.033,419.368,637.399,574.723,550.414,623.991,706.046,795.489,1626.55,318.064,810.817,1896.479,1064.176,867.435,1713.881,1517.301,648.043,720.798,391.083,1642.398,1617.15,697.462,734.627,296.976,1232.377
cell_tscp_f01_slope,3.522,7.21,3.777,5.828,1.585,1.699,4.031,3.086,1.21,2.861,1.131,1.821,2.186,6.511,2.711,8.558,2.315,2.365,6.925,1.422,2.286,4.766,2.443,5.953,1.437,1.712,1.317,6.19,1.198,4.829,4.076,3.094,2.376,3.312,1.671,3.703,1.753,7.001,3.165,2.584,2.397,3.583,1.843,4.981,5.806,3.485,3.154,5.338,3.388,4.802,2.047,1.178,2.608,1.128,0.953,1.733,1.861,1.771,2.764,1.758,3.963,2.069,0.969,0.906,1.1,7.32,3.832,1.394,4.425,3.168,1.499,1.651,1.32,1.111,1.901,2.665,6.212,5.863,4.353,3.473,7.258,7.263,5.49,5.598,6.345,2.941,6.761,7.066,7.298,1.583,1.217,1.023,1.426,4.769,2.95,1.753,4.247
