sample	count	plate
14773	18629	plate3
15432	16207	plate3
14765	15843	plate3
17898	12599	plate3
16488	10920	plate3
17072	10883	plate3
18145	10317	plate3
1102	10095	plate3
15444	10067	plate3
13910	9765	plate3
17071	9736	plate3
12971_FC	9712	plate3
16393	9329	plate3
13950	8925	plate3
14284	8626	plate3
14473	8418	plate3
15794	8360	plate3
11921	8251	plate3
15699	8166	plate3
15265	7874	plate3
16491	7868	plate3
17972	7679	plate3
1923	7656	plate3
15309	7485	plate3
14205	7421	plate3
13142	7148	plate3
1117	7040	plate3
12994_a	6936	plate3
14729	6897	plate3
17767	6884	plate3
1558	6847	plate3
18137	6752	plate3
15895	6743	plate3
17634	6661	plate3
15260	6645	plate3
15091	6640	plate3
14718	6627	plate3
14149	6609	plate3
17940	6465	plate3
16548	6357	plate3
14533	6342	plate3
17369	6280	plate3
15351	6263	plate3
18061	6205	plate3
16840	6161	plate3
17936	6126	plate3
15821	6111	plate3
17923	6099	plate3
13782	5782	plate3
16438	5751	plate3
16281	5749	plate3
13886	5728	plate3
14105	5646	plate3
15985	5585	plate3
16246	5571	plate3
2143	5535	plate3
18048	5489	plate3
13454	5477	plate3
13424	5439	plate3
17978	5389	plate3
15125	5248	plate3
15328	5231	plate3
18382	5207	plate3
17812	5198	plate3
15070	5146	plate3
18039	5087	plate3
15355	5079	plate3
15217	5046	plate3
15370	5003	plate3
16011	4942	plate3
12047	4882	plate3
12036	4813	plate3
16114_FC	4701	plate3
16972	4676	plate3
11511	4470	plate3
15949	4417	plate3
13901	4335	plate3
17109	4329	plate3
13117	4318	plate3
12152	4154	plate3
11396	4096	plate3
15955	3851	plate3
14521	3768	plate3
13885	3724	plate3
13907	3690	plate3
15218	3545	plate3
15249	2819	plate3
15626	2211	plate3
14706	1792	plate3
15219	1742	plate3
19043	1659	plate3
14836	1589	plate3
14703	1352	plate3
14211	1194	plate3
14501	1139	plate3
15245	561	plate3
