gene,logfoldchange,pval,pval_adj,score
ZNF385D,22.902893,1.6347445938859078e-06,0.037438920689175065,7.076309
CEP112,8.745341,3.708757627155266e-06,0.04246898358855495,6.2384086
RBMS1,8.129404,2.3929569650372745e-05,0.14158237753468975,5.8659234
ADGRL2,25.22566,3.0910483262311096e-05,0.14158237753468975,5.849401
FOXP2,17.677956,2.687995240711501e-05,0.14158237753468975,5.6049905
RORA,80.439804,7.188319267156709e-05,0.1978635368614675,5.3999205
DAB1,64.83848,6.046658030855021e-05,0.19782937460377384,5.1009965
GRID2,48.164207,0.00010254884936877642,0.1978635368614675,5.0926886
PRKG1,23.223417,0.00010367489487108593,0.1978635368614675,5.055369
CNTNAP4,9.019026,8.722696192961289e-05,0.1978635368614675,5.0543027
NPAS3,31.111443,5.306454805388786e-05,0.19782937460377384,5.0456977
ENSG00000287092,9.393052,0.00015753300430127888,0.2542709139406504,4.9652534
EBF3,10.330892,0.00016189674354556518,0.2542709139406504,4.962633
EBF1,27.087101,0.0002027871938090176,0.2731901360361248,4.8502984
SHISA6,7.428723,9.908167140618507e-05,0.1978635368614675,4.65179
COL24A1,9.706444,0.00040962799005771525,0.360819239550069,4.551376
PARD3B,9.928063,0.000245937946375408,0.3129150471049775,4.5461907
GRIK4,5.591087,0.00016653845555452602,0.2542709139406504,4.5365057
ITPR1,16.506168,0.00040025480354617654,0.360819239550069,4.4850254
ESRRB,7.0101047,0.0004472212833037196,0.3657950653650638,4.477677
SHANK2,11.657564,0.00017785735283888372,0.2545805684197572,4.4728513
LHX1-DT,7.937393,0.0005251014504448301,0.41468529027887924,4.415577
DGKH,8.943526,0.0005894805897231531,0.4354930472851501,4.330038
PTPRM,11.028116,0.0002733261608599934,0.3274994855883483,4.3043633
TMTC2,9.016141,0.0003532170001112048,0.360819239550069,4.2929482
CA8,18.700678,0.0007211952986539999,0.4857886685227619,4.288086
KCNMA1,10.686983,0.00035616832528412,0.360819239550069,4.1677523
LINGO2,23.925812,0.00042939796111076507,0.36422489279106446,4.1665964
CDK14,5.203407,0.0002860007733720621,0.3274994855883483,4.1449265
GRM7,14.460617,0.00039000561922568176,0.360819239550069,4.0450044
GLI3,6.6875834,0.00038611642340586954,0.360819239550069,4.0357904
GALNT17,8.233733,0.0005593790824767403,0.42702999156274357,4.0286813
DMD,21.025433,0.0008731442002628332,0.5713356706976973,4.0114408
ENSG00000229588,4.694571,0.0007017582687951105,0.4857886685227619,3.9934187
LRRC3B,8.619733,0.001039455907238433,0.6612671996548498,3.9825234
NRG1,45.642323,0.0006086643996954096,0.4356135025570085,3.9483652
GRIK1,14.717682,0.0016367773032748539,0.7579321736982544,3.8095162
SPOCK3,6.6331186,0.0015322408858847393,0.7507416768918832,3.7580097
CDH11,9.4357,0.0014468386823550641,0.745452714734351,3.725072
DNER,4.616621,0.0010894661366338682,0.6743500935456446,3.7213027
PARD3,6.6443925,0.0015734695874076673,0.7507416768918832,3.7074678
CNTN5,19.219788,0.0017632988010253296,0.7619447007751339,3.705154
LNC-LBCS,4.498434,0.001391479629940679,0.745452714734351,3.695482
LRFN5,6.4454117,0.001139241559574426,0.6866028999308816,3.6770468
MDGA1,3.8360648,0.0012638391425522316,0.7236111010682802,3.6571221
KCNIP4,23.158688,0.0012264804033471925,0.720227030704036,3.6379073
